Date, Open, High, Low, Close, MA5, MA8, MA13,Buy,Profit,Sell
01/31/24,147.6,147.9,146.0,146.95,147.68599999999998,147.88375000000002,147.47307692307692,Closed,-1.210000000000008,Closed
02/05/24,148.38,148.9,148.28,148.68,147.37,147.52249999999998,147.78,Closed,-0.30000000000001137,Closed
02/07/24,147.95,148.26,147.63,148.18,147.67400000000004,147.70374999999999,147.80307692307696,Closed,-0.2400000000000091,Closed
02/29/24,150.69,150.7,149.21,149.98,150.586,150.41875,150.32461538461538,Closed,0.6999999999999886,Closed
03/05/24,150.53,150.56,149.71,150.05,150.36599999999999,150.44625,150.3176923076923,Closed,-0.07999999999998408,Closed
03/14/24,147.76,148.36,147.44,148.31,147.49200000000002,148.43124999999998,149.18846153846152,Closed,-0.27000000000001023,Closed
03/18/24,149.05,149.33,148.92,149.16,147.94800000000004,148.0325,148.89461538461538,Closed,-0.07999999999998408,Closed
05/01/24,157.8,157.99,153.03,154.51,156.698,155.97750000000002,155.31692307692308,Closed,3.049999999999983,Closed
05/03/24,153.65,153.79,151.87,153.06,156.122,155.8075,155.36153846153846,Closed,-0.5600000000000023,Closed
05/10/24,155.51,155.91,155.26,155.75,154.54000000000002,154.82875,155.32,Closed,-0.27000000000001023,Closed
06/03/24,157.25,157.46,155.96,156.07,157.166,157.07,156.5369230769231,Closed,0.6699999999999875,Closed
06/05/24,154.9,156.49,154.8,156.12,156.546,156.72625,156.59,Closed,1.210000000000008,Closed
06/07/24,155.61,157.07,155.12,156.65,155.996,156.455,156.57307692307694,Closed,-1.039999999999992,Closed
06/11/24,157.04,157.47,156.81,157.13,156.06599999999997,156.31125000000003,156.6269230769231,Closed,-0.09000000000000341,Closed
07/11/24,161.66,161.76,157.46,158.84,161.17600000000002,161.30875,160.94307692307692,Closed,1.0999999999999943,Closed
08/08/24,146.69,147.55,145.43,147.23,146.22400000000002,148.49,150.93307692307692,Closed,10.830000000000013,Closed
08/12/24,146.67,148.23,146.47,147.2,145.81,146.87,149.48846153846154,Closed,-0.5799999999999841,Closed
08/14/24,146.83,147.58,146.07,147.34,146.91400000000002,146.20375,148.42692307692306,Closed,-0.5099999999999909,Closed
08/20/24,146.61,147.34,145.2,145.27,147.536,147.34125,146.91153846153844,Closed,-1.329999999999984,Closed
08/22/24,145.27,146.53,144.84,146.3,146.81199999999998,146.92874999999998,146.49846153846153,Closed,1.0200000000000102,Closed
08/29/24,144.58,145.56,144.24,144.99,144.74600000000004,145.11,146.08923076923077,Closed,-0.46999999999999886,Closed
09/02/24,146.17,147.17,145.78,146.92,144.846,145.0225,145.8692307692308,Closed,-0.7399999999999807,Closed
09/17/24,140.61,142.47,140.33,142.42,141.618,142.1275,143.41,Closed,0.75,Closed
09/19/24,142.29,143.94,141.9,142.63,141.59199999999998,141.995,142.91230769230768,Closed,-0.3499999999999943,Closed
09/23/24,143.81,144.45,143.16,143.61,142.37199999999999,142.11,142.46230769230772,Closed,0.30999999999997385,Closed
09/27/24,144.82,146.5,142.07,142.14,144.064,143.45625,142.7492307692308,Closed,-2.6100000000000136,Closed
11/05/24,152.09,152.57,151.34,151.62,152.78799999999998,152.67,151.98384615384617,Closed,7.990000000000009,Closed
11/25/24,154.77,154.77,153.55,154.19,154.81400000000002,155.02125,154.5169230769231,Closed,-1.3000000000000114,Closed
12/04/24,149.59,151.24,149.53,150.62,150.32,151.7075,152.86999999999998,Closed,0.5,Closed
12/06/24,150.1,150.7,149.37,150.01,149.93200000000002,150.68,152.2323076923077,Closed,0.10000000000002274,Closed
12/10/24,151.19,152.17,150.9,151.97,150.31,150.305,151.55076923076922,Closed,-0.75,Closed
